TransactionID,ProdID,ClientID,DatePurchased
292,4,26,20000701
661,2,72,20000401
369,0,60,20120327
509,2,29,20080125
716,6,69,20110902
100,8,56,20041219
225,1,99,20141008
847,8,36,20111221
231,7,28,20061109
510,3,72,20180622
49,9,33,19991003
945,3,24,20051029
974,2,94,19990915
552,5,72,20140109
456,2,66,20160701
220,1,66,20061202
944,9,24,20031007
613,1,85,20100916
727,7,28,20020923
963,1,90,20111005
275,3,22,20131208
922,0,15,20060627
490,0,99,20180212
266,5,36,20080329
932,3,64,20181201
63,1,92,20151030
894,4,46,19991010
202,9,63,20010305
31,7,32,20020731
579,8,32,20130211
679,2,29,20081212
694,0,36,20131102
711,3,40,20070502
817,6,67,20120527
166,0,16,20121110
290,8,61,19991022
143,6,99,20011217
594,5,37,20010911
491,1,96,20131105
191,8,52,20071126
32,1,75,20060913
470,6,54,20160509
554,5,54,20130909
79,5,5,20001025
276,3,38,20050903
695,0,38,20160725
74,8,35,20130923
845,1,66,20151206
368,6,61,20070517
150,6,94,20070812
710,9,85,20171003
550,0,22,20021028
458,0,78,20111130
580,8,47,20130421
520,8,52,20181024
658,3,36,20140101
667,0,3,20170731
38,7,1,20160108
473,8,30,20030122
430,6,59,19990415
713,7,83,20141113
282,6,64,20021223
920,3,26,20030524
372,4,56,20110214
940,8,14,20000208
958,9,21,20050615
787,1,26,20150221
825,8,55,20170429
866,1,3,20090917
783,8,87,19990221
814,8,49,19990818
854,1,64,20141206
795,6,97,20151105
325,0,90,20170109
889,4,30,20120704
255,3,7,19990627
853,5,29,20071031
425,8,30,20091002
84,9,89,20061021
399,9,50,20130301
457,0,63,20110511
719,6,22,19990428
917,7,43,20000129
548,2,3,20000209
112,2,70,20070920
896,4,85,20180416
761,3,46,20130316
157,8,47,20110109
438,8,15,20141105
239,1,31,20181219
256,1,88,20160306
13,5,39,20051215
444,6,98,20080813
561,5,33,20011008
651,3,56,20180317
644,1,88,20061014
498,7,33,20180814
885,2,51,20071220
867,5,20,20000221
775,8,20,20080822
340,0,9,20181216
618,6,49,20130911
197,3,80,20040223
66,6,44,20170909
751,2,63,20031231
506,1,16,20120804
388,2,59,19990219
387,9,95,20010323
216,6,46,20140813
294,4,81,20110331
916,4,43,20031102
616,7,56,20170527
636,4,29,20180202
968,7,94,20020421
875,3,52,20001108
428,1,71,20170111
421,5,86,19990706
463,2,98,20011006
260,1,89,20041226
572,6,86,20000428
660,6,25,20021101
99,4,58,20020417
973,5,99,20010717
758,4,18,20031004
653,5,58,20000817
145,2,76,20180715
893,7,55,20081203
181,9,78,20141225
820,8,16,20110405
612,7,14,20160109
339,8,19,20071105
871,3,82,20090130
584,1,48,20090122
784,8,48,20110515
559,6,75,20091102
682,6,89,20080314
596,2,98,20001027
134,3,40,20130123
414,9,63,20070816
28,6,18,20040320
569,6,47,20000612
356,8,96,20131227
81,6,51,20151125
55,2,84,20160427
226,6,86,20150503
972,1,50,20030726
70,3,45,20150311
874,4,58,20020401
198,9,27,20150806
650,6,56,20050125
27,6,53,20140122
192,2,0,20050319
642,8,41,20110107
998,6,64,20060710
323,4,95,20051003
378,1,99,20000113
123,9,65,20060824
149,5,66,20030301
841,0,63,20140225
610,2,99,20000822
203,7,98,20180512
546,7,55,20061119
359,5,38,20031108
462,7,84,20140425
824,6,78,20150607
445,8,52,20120827
662,1,67,19990305
265,0,55,20000401
563,9,19,20060515
725,6,41,20151105
383,5,50,20151230
600,6,67,20090103
760,7,42,20141229
852,2,10,20070430
116,5,93,20030710
224,6,25,20100309
476,5,80,20051002
85,2,96,19991029
307,8,33,20030811
488,5,11,20080705
128,7,94,20030423
837,5,68,20040620
810,5,19,20141102
354,3,32,20030921
834,8,47,20000211
73,5,28,20170930
9,3,54,20001017
257,6,61,20131127
342,6,77,20050529
493,4,43,20081229
380,9,28,20071004
431,1,67,20161030
269,4,14,20081004
1,8,55,20170512
144,5,94,20061124
412,0,8,20100313
801,2,0,20150928
862,3,1,20080204
148,7,54,20020731
241,5,92,20140321
170,8,55,20071206
164,1,17,20050831
206,2,72,19991209
785,6,51,20090124
666,1,17,20180209
196,0,35,20120322
171,8,25,20130605
621,0,9,20050113
779,6,9,20140702
61,6,62,20110810
280,9,31,20120508
870,6,90,20070507
659,2,70,20140705
